Index         Status  Sats  RTC-date  RTC-time  FIX-date      FIX-time   Delta(s)     Latitude    Longitude     Altitude    HDOP        eRes
    1          Valid   9/9  16/11/18  21:26:09  16/11/18  21:26:09.855      0.855     33.89582    -83.36028       177.75     1.2         3.7
    2          Valid   6/6  16/11/18  21:31:05  16/11/18  21:31:05.829      0.829     33.89584    -83.36031       181.47     2.6         1.4
    3          Valid   9/9  16/11/18  23:36:08  16/11/18  23:36:08.504      0.504     33.89601    -83.36031       182.19     1.1         3.2
    4          Valid   8/8  16/11/18  23:41:08  16/11/18  23:41:08.523      0.523     33.89577    -83.36018       158.08     1.7         2.8
    5          Valid   5/5  16/11/19  01:46:06  16/11/19  01:46:06.251      0.251     33.89593    -83.36023       182.68     2.5         1.2
    6          Valid   5/5  16/11/19  01:51:06  16/11/19  01:51:06.235      0.235     33.89594    -83.36029       187.16     2.6         1.1
    7          Valid   9/9  16/11/19  03:56:09  16/11/19  03:56:09.067      0.067     33.89589    -83.36033       176.56     0.9         4.4
    8          Valid   9/9  16/11/19  04:01:08  16/11/19  04:01:08.055      0.055     33.89584    -83.36021       176.45     1.0         5.3
    9          Valid   9/9  16/11/19  06:06:07  16/11/19  06:06:06.804     -0.196     33.89594    -83.36031       182.67     0.9         6.8
   10          Valid   8/8  16/11/19  06:11:07  16/11/19  06:11:06.800     -0.200     33.89587    -83.36024       176.61     2.1         6.1
   11          Valid   6/7  16/11/19  08:16:06  16/11/19  08:16:05.605     -0.395     33.89601    -83.36006       186.36     3.8         1.9
   12          Valid   6/7  16/11/19  08:21:04  16/11/19  08:21:03.514     -0.486     33.89537    -83.36035       157.99     3.0         5.7
   13          Valid   6/6  16/11/19  10:26:06  16/11/19  10:26:05.438     -0.562     33.89673    -83.35979       214.69     2.5         4.7
   14          Valid   7/7  16/11/19  10:31:10  16/11/19  10:31:08.367     -1.633     33.89587    -83.36023       186.23     1.6         2.7
   15          Valid   6/6  16/11/19  12:36:07  16/11/19  12:36:06.192     -0.808     33.89579    -83.36025       184.70     2.0         2.2
   16          Valid   8/8  16/11/19  12:41:09  16/11/19  12:41:08.168     -0.832     33.89550    -83.36070       283.34     1.1        15.9
   17          Valid   6/6  16/11/19  14:46:07  16/11/19  14:46:05.877     -1.123     33.89596    -83.36040       168.54     2.1         1.3
   18          Valid   9/9  16/11/19  14:51:08  16/11/19  14:51:06.884     -1.116     33.89576    -83.36047       196.76     0.9         3.7
   19          Valid   6/6  16/11/19  16:56:06  16/11/19  16:56:04.528     -1.472     33.89593    -83.36030       185.72     2.0         1.7
   20          Valid   8/9  16/11/19  17:01:09  16/11/19  17:01:07.580     -1.420     33.89578    -83.36035       182.01     1.3         3.2
   21          Valid   5/6  16/11/19  19:06:08  16/11/19  19:06:06.212     -1.788     33.89552    -83.36057       183.83     4.0         1.2
   22          Valid   9/9  16/11/19  19:11:09  16/11/19  19:11:07.266     -1.734     33.89583    -83.36024       160.92     1.0         4.1
   23          Valid   9/9  16/11/19  21:16:09  16/11/19  21:16:06.960     -2.040     33.89575    -83.36025       214.55     1.4        10.4
   24          Valid   7/7  16/11/19  21:21:08  16/11/19  21:21:05.958     -2.042     33.89589    -83.36046       170.69     1.2         2.2
   25          Valid   7/7  16/11/19  23:26:07  16/11/19  23:26:04.738     -2.262     33.89570    -83.36026       175.06     1.5         3.1
   26          Valid   7/7  16/11/19  23:31:07  16/11/19  23:31:04.719     -2.281     33.89592    -83.36026       175.17     2.0         3.1
   27          Valid   8/8  16/11/20  01:36:06  16/11/20  01:36:03.436     -2.564     33.89620    -83.36059       170.03     1.1        17.6
   28          Valid   9/9  16/11/20  01:41:07  16/11/20  01:41:04.502     -2.498     33.89590    -83.36029       166.95     1.1         7.9
   29          Valid   6/6  16/11/20  03:46:05  16/11/20  03:46:02.372     -2.628     33.89611    -83.35996       195.07     5.4         1.3
   30          Valid   9/9  16/11/20  03:51:08  16/11/20  03:51:05.332     -2.668     33.89585    -83.36030       176.18     0.9         5.6
   31          Valid   8/8  16/11/20  05:56:09  16/11/20  05:56:06.172     -2.828     33.89583    -83.36057       238.67     1.0        22.9
   32          Valid   8/8  16/11/20  06:01:09  16/11/20  06:01:06.157     -2.843     33.89592    -83.36024       196.17     2.1         5.7
   33          Valid   8/9  16/11/20  08:06:07  16/11/20  08:06:03.946     -3.054     33.89571    -83.36040       199.59     1.8         7.0
   34          Valid   5/6  16/11/20  08:11:04  16/11/20  08:11:00.946     -3.054     33.89565    -83.35995       157.40     4.1         1.1
   35          Valid   4/4  16/11/20  10:16:06  16/11/20  10:16:02.499     -3.501     33.89392    -83.36080       157.40   177.0         0.1
   36          Valid   7/7  16/11/20  10:21:07  16/11/20  10:21:03.757     -3.243     33.89560    -83.36024       170.96     2.3         1.3
   37          Valid   7/7  16/11/20  12:26:06  16/11/20  12:26:02.641     -3.359     33.89567    -83.36027       176.29     1.7         7.1
   38          Valid   8/8  16/11/20  12:31:08  16/11/20  12:31:04.635     -3.365     33.89580    -83.36025       187.82     0.9         3.0
   39          Valid   7/7  16/11/20  14:36:07  16/11/20  14:36:03.480     -3.520     33.89594    -83.36031       190.99     1.1         3.5
   40          Valid   6/6  16/11/20  14:41:09  16/11/20  14:41:05.418     -3.582     33.89586    -83.36032       191.25     3.2         3.3
   41          Valid   7/8  16/11/20  16:46:06  16/11/20  16:46:02.136     -3.864     33.89593    -83.36027       177.43     1.3         4.9
   42          Valid   8/9  16/11/20  16:51:09  16/11/20  16:51:05.119     -3.881     33.89580    -83.36029       174.95     1.3         3.0
   43          Valid   8/9  16/11/20  18:56:08  16/11/20  18:56:03.927     -4.073     33.89577    -83.36041       223.54     1.4        11.3
   44          Valid   7/8  16/11/20  19:01:08  16/11/20  19:01:03.858     -4.142     33.89597    -83.36024       164.57     1.1         4.9
   45          Valid   7/7  16/11/20  21:06:07  16/11/20  21:06:02.602     -4.398     33.89590    -83.36025       174.05     2.4         2.5
   46          Valid   8/8  16/11/20  21:11:08  16/11/20  21:11:03.605     -4.395     33.89598    -83.36023       162.54     1.8         3.8
   47          Valid   8/8  16/11/20  23:16:08  16/11/20  23:16:03.363     -4.637     33.89577    -83.36033       227.06     1.3        10.7
   48          Valid   7/7  16/11/20  23:21:04  16/11/20  23:20:59.341     -4.659     33.89597    -83.36031       192.23     1.4         4.2
   49          Valid   9/9  16/11/21  01:26:10  16/11/21  01:26:04.133     -5.867     33.89586    -83.36032       184.04     1.3         6.9
   50          Valid   8/8  16/11/21  01:31:09  16/11/21  01:31:04.113     -4.887     33.89577    -83.36025       184.53     1.5         4.3
   51          Valid   8/8  16/11/21  03:36:10  16/11/21  03:36:03.894     -6.106     33.89594    -83.36034       193.08     1.0         2.7
   52          Valid   8/8  16/11/21  03:41:10  16/11/21  03:41:03.887     -6.113     33.89572    -83.36071       264.15     1.0        24.4
   53          Valid   9/9  16/11/21  05:46:07  16/11/21  05:46:01.699     -5.301     33.89590    -83.36036       176.63     0.9         2.3
   54          Valid   8/8  16/11/21  05:51:09  16/11/21  05:51:03.739     -5.261     33.89574    -83.35988       143.18     2.1         8.0
   55          Valid   7/8  16/11/21  07:56:07  16/11/21  07:56:01.434     -5.566     33.89561    -83.36028       178.77     1.9         2.2
   56          Valid   6/7  16/11/21  08:01:05  16/11/21  08:00:59.431     -5.569     33.89560    -83.36030       177.08     2.0         0.5
   57          Valid   5/5  16/11/21  10:06:10  16/11/21  10:06:03.308     -6.692     33.89607    -83.36032       179.02     3.8         1.3
   58          Valid   8/8  16/11/21  10:11:08  16/11/21  10:11:02.289     -5.711     33.89601    -83.36040       170.88     1.9         3.1
   59          Valid   6/6  16/11/21  12:16:06  16/11/21  12:16:00.125     -5.875     33.89580    -83.36026       169.94     1.3         4.2
   60          Valid   6/6  16/11/21  12:21:04  16/11/21  12:20:58.136     -5.864     33.89616    -83.36046       171.31     3.1         0.9
